Breed,Disease,Disorder,Recommended Recipes
rottweiler,Leukodystrophies,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
rottweiler,Neuroaxonal dystrophy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
rottweiler,Cervical vertebral instability (Wobbler syndrome),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
rottweiler,Demodicosis/ Demodectic mange,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
rottweiler,vitiligo,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
saint bernard,Coagulation (bleeding) disorders,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
saint bernard,Dilated cardiomyopathy,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
saint bernard,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Dermoids,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Ectropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Optic nerve hypoplasia and micropapilla,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saint bernard,Gastric dilatation-volvulus,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
saint bernard,Elbow dysplasia - OCD of the elbow,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
saint bernard,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
saint bernard,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
saint bernard,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
saint bernard,sebaceous adenitis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
saluki,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saluki,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
saluki,Lysosomal storage diseases,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
saluki,colour dilution alopecia,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
saluki,Follicular dysplasias,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
samoyed,Hemophilia,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
samoyed,Atrial septal defect (ASD),Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
samoyed,Pulmonic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
samoyed,Subaortic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
samoyed,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
samoyed,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
samoyed,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
samoyed,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
samoyed,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
samoyed,X-linked muscular dystrophy,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
samoyed,Cerebellar abiotrophy(ataxia),Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,"Hypo-/dysmyelinogenesis (""shaking pup"")",Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Leukodystrophies,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Myasthenia gravis,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Shaker dog syndrome,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Spina bifida,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
samoyed,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
samoyed,sebaceous adenitis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
samoyed,zinc-responsive dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
schipperke,Diabetes mellitus,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
schipperke,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
schipperke,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
schipperke,Pemphigus,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
schipperke,colour dilution alopecia,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
schipperke,Follicular dysplasias,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
schipperke,Pemphigus,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
scottish deerhound,Dilated cardiomyopathy,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
scottish deerhound,Gastric dilatation-volvulus,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
scottish deerhound,Osteochondrodysplasia - skeletal dwarfism,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
scottish terrier,Hemophilia,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
scottish terrier,Histiocytoma,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
scottish terrier,von Willebrand's disease,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
scottish terrier,Pulmonic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
scottish terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
scottish terrier,Lens luxation,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
scottish terrier,Persistent pupillary membranes (PPM),Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
scottish terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
scottish terrier,Chronic hepatitis,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
scottish terrier,Atopy,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
scottish terrier,"Craniomandibular osteopathy (""lion jaw"")",Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
scottish terrier,Scotty cramp,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
scottish terrier,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
scottish terrier,Leukodystrophies,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
scottish terrier,Atopy,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
scottish terrier,sebaceous adenitis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
sealyham terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,Lens luxation,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sealyham terrier,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
shetland sheepdog,Hemophilia,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
shetland sheepdog,von Willebrand's disease,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
shetland sheepdog,Patent ductus arteriosus (PDA),Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
shetland sheepdog,"Cryptorchidism, retained testicle",Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
shetland sheepdog,Hypothyroidism,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
shetland sheepdog,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shetland sheepdog,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shetland sheepdog,Collie eye anomaly (CEA),Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shetland sheepdog,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shetland sheepdog,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shetland sheepdog,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
shetland sheepdog,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
shetland sheepdog,Deafness,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
shetland sheepdog,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
shetland sheepdog,colour dilution alopecia,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
shetland sheepdog,Dermatomyositis and ulcerative dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
shetland sheepdog,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
shiba inu,Hypothyroidism,Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
shiba inu,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
shih tzu,Tricuspid valve dysplasia,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
shih tzu,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
shih tzu,Urolithiasis (stones),Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
shih tzu,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,Ectropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
shih tzu,Cleft lip/palate,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
shih tzu,Patellar luxation,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
shih tzu,Intervertebral disk disease,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
shih tzu,Hydrocephalus,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
shih tzu,Intervertebral disk disease,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
shih tzu,brachycephalic syndrome,Inherited respiratory disorders,"t/d mini dog food, t/d dog food, oral care adult dry dog food with chicken"
shih tzu,dermoid sinus,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
shih tzu,sebaceous adenitis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
siberian husky,Hemophilia,Inherited blood disorders,"l/d wet dog food original, u/d dry dog food original, l/d dry dog food original"
siberian husky,Tetralogy of Fallot,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
siberian husky,Ventricular septal defect (VSD),Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
siberian husky,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,Pannus - chronic superficial keratitis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,Corneal dystrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,Glaucoma,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
siberian husky,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
siberian husky,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
siberian husky,Degenerative myelopathy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
siberian husky,Laryngeal paralysis,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
siberian husky,Idiopathic epilepsy,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
siberian husky,Laryngeal paralysis,Inherited respiratory disorders,"t/d mini dog food, t/d dog food, oral care adult dry dog food with chicken"
siberian husky,Follicular dysplasias,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
siberian husky,"Lupus erythematosus (systemic, cutaneous/discoid)",Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
siberian husky,zinc-responsive dermatosis,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
silky terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
silky terrier,Patellar luxation,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
silky terrier,Leukodystrophies,Inherited nervous system disorders,"b/d brain ageing care dry dog food with chicken bag, puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken"
silky terrier,colour dilution alopecia,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
skye terrier,Lens luxation,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
skye terrier,Chronic hepatitis,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
skye terrier,Atopy,Inherited immune disorders,"k/d kidney care wet dog food original can, k/d dog food, small & mini breed adult dog mousse with chicken"
skye terrier,tracheal collapse,Inherited respiratory disorders,"t/d mini dog food, t/d dog food, oral care adult dry dog food with chicken"
skye terrier,Atopy,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
soft coated wheaten terrier,Familial kidney disease,Inherited disorders of the urinary and reproductive systems,"k/d kidney care wet dog food original can, medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food"
soft coated wheaten terrier,Hypoadrenocorticism (Addison's disease),Inherited endocrine disorders,"light adult wet dog food with chicken, light adult large breed dry dog food with chicken, adult wet dog food with turkey"
soft coated wheaten terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
soft coated wheaten terrier,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
soft coated wheaten terrier,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
soft coated wheaten terrier,Progressive retinal atrophy,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
soft coated wheaten terrier,Protein-losing enteropathy,Inherited gastrointestinal disorders,"k/d kidney care wet dog food original can, adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag"
soft coated wheaten terrier,Cutaneous asthenia (Ehlers-Danlos syndrome),Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
staffordshire bull terrier,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
staffordshire bull terrier,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
staffordshire bull terrier,brachycephalic syndrome,Inherited respiratory disorders,"t/d mini dog food, t/d dog food, oral care adult dry dog food with chicken"
staffordshire bull terrier,Demodicosis/ Demodectic mange,Inherited skin disorders,"adult large breed dry dog food with lamb & rice, medium mature adult 7+ dog food with chicken dry bag, d/d food sensitivities dry dog food with duck & rice bag"
sussex spaniel,Pulmonic stenosis,Inherited cardiovascular disorders,"medium mature adult 7+ dog food with chicken dry bag, mature adult medium dog food, j/d wet dog food with chicken"
sussex spaniel,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sussex spaniel,Retinal dysplasia,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
sussex spaniel,Hip dysplasia,Inherited musculoskeletal disorders,"adult large breed dry dog food with lamb & rice, adult large breed dry dog food with chicken, healthy weight dog treats"
tibetan spaniel,Cataracts,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
tibetan spaniel,Entropion,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
tibetan spaniel,Microphthalmia; ocular dysgenesis,Inherited eye disorders,"puppy medium breed dry dog food with lamb & rice, puppy large breed dry dog food with chicken, multi-benefit puppy wet food"
